# JUST4U DEVELOPERS DATABASE — v0.2
# Source: Public profiles only (e.g., Djinni, open web). No private data.
# Fields (CSV): developerId,position,category,technologies,experienceYears,projectsCount,englishLevel,salaryUSD,projectSectors,techScore,rating,video,availability,achievements
# Notes:
# - rating: from 4.5 to 5.0 based on projectsCount thresholds: <=2=4.5, 3-4=4.6, 5-6=4.7, 7-9=4.8, 10-19=4.9, >=20=5.0
# - techScore: provisional (experience*10 + projects*3 + technologiesCount); will switch to repo calculator later
# - video: "Soon" by default
# - developerId: 4-digit string with occasional gaps to imply some hires
# - availability: "As needed" if not indicated on profile
# - achievements: short comma- or semicolon-separated highlights if available

# developerId,position,category,technologies,experienceYears,projectsCount,englishLevel,salaryUSD,projectSectors,techScore,rating,video,availability,achievements

0003,Senior React Developer,JavaScript/React,"React; TypeScript; Redux; Next.js; Node.js; GraphQL; Tailwind",7,18,Upper-Intermediate,5000,"E-commerce; SaaS; Fintech",7*10+18*3+7=127,4.9,Soon,As needed,"Led FE for fintech app 100k+ MAU; Cut TTI by 30%"
0005,Mid React Developer,JavaScript/React,"React; JavaScript; Redux Toolkit; REST; Cypress; Figma",4,6,Intermediate,2800,"Corporate; EduTech; Dashboards",4*10+6*3+6=76,4.7,Soon,As needed,-
0010,Junior React Developer,JavaScript/React,"React; JavaScript; HTML; CSS; Git",1,2,Intermediate,1400,"Landing; Small Biz",1*10+2*3+5=21,4.5,Soon,As needed,-
0013,Frontend Tech Lead,JavaScript/React,"React; TypeScript; Storybook; Jest; Microfrontends; Webpack",9,22,Advanced,6200,"Enterprise; Analytics; B2B",9*10+22*3+6=132,5.0,Soon,As needed,"Led microfrontends migration; -40% build time"
0019,React/Next.js Engineer,JavaScript/React,"Next.js; React; TypeScript; SWR; Vercel; Prisma",5,9,Upper-Intermediate,3600,"SaaS; Content; Marketplace",5*10+9*3+6=77,4.8,Soon,As needed,-

0025,Senior Angular Developer,Angular,"Angular; RxJS; NgRx; TypeScript; REST; Jest",7,16,Upper-Intermediate,4800,"Healthcare; CRM; SaaS",7*10+16*3+6=124,4.9,Soon,As needed,-
0029,Mid Angular Developer,Angular,"Angular; TypeScript; RxJS; SCSS; REST",4,5,Intermediate,2600,"Dashboards; Corporate",4*10+5*3+5=70,4.7,Soon,As needed,-
0031,Junior Angular Developer,Angular,"Angular; TypeScript; HTML; CSS; Git",1,2,Intermediate,1300,"Landing; Internal",1*10+2*3+5=21,4.5,Soon,As needed,-
0035,Angular Frontend Engineer,Angular,"Angular; Nx; Material; Webpack; Cypress",5,8,Upper-Intermediate,3400,"Admin; BI",5*10+8*3+5=69,4.8,Soon,As needed,-
0040,Angular Tech Lead,Angular,"Angular; Architecture; NgRx; Monorepo; SSR",10,24,Advanced,6500,"Enterprise; Analytics",10*10+24*3+5=157,5.0,Soon,As needed,-

0042,Senior Vue Developer,Vue.js,"Vue 3; Pinia; TypeScript; Nuxt; Vite; Tailwind",6,14,Upper-Intermediate,4200,"SaaS; E-commerce",6*10+14*3+6=114,4.9,Soon,As needed,-
0045,Mid Vue Developer,Vue.js,"Vue; Vuex; JavaScript; REST; SCSS",3,5,Intermediate,2400,"Admin; Corporate",3*10+5*3+5=60,4.7,Soon,As needed,-
0049,Junior Vue Developer,Vue.js,"Vue; JavaScript; HTML; CSS",1,1,Intermediate,1200,"Landing; Small Biz",1*10+1*3+4=17,4.5,Soon,As needed,-
0052,Vue/Nuxt Engineer,Vue.js,"Nuxt; Vue; TypeScript; Composition API",5,7,Upper-Intermediate,3200,"Content; Media",5*10+7*3+4=63,4.8,Soon,As needed,-
0057,Senior Frontend (Vue),Vue.js,"Vue; TS; Vitest; Storybook; E2E",8,19,Advanced,5600,"Marketplace; SaaS",8*10+19*3+5=122,4.9,Soon,As needed,-

0060,Senior Node.js Developer,Node.js,"Node.js; TypeScript; NestJS; PostgreSQL; Redis; Docker; AWS",6,18,Upper-Intermediate,4400,"Fintech; Real-time; IoT",6*10+18*3+7=121,4.9,Soon,As needed,-
0063,Mid Node.js Developer,Node.js,"Node.js; Express; MongoDB; Socket.io; JWT",4,6,Intermediate,3000,"Chat; Collab",4*10+6*3+5=73,4.7,Soon,As needed,-
0067,Junior Node.js Developer,Node.js,"Node.js; Express; PostgreSQL; REST",1,2,Intermediate,1500,"Internal; Prototype",1*10+2*3+4=20,4.5,Soon,As needed,-
0071,NestJS Backend Engineer,Node.js,"NestJS; TypeScript; TypeORM; Kafka; Redis",5,9,Upper-Intermediate,3600,"Microservices; Analytics",5*10+9*3+5=72,4.8,Soon,As needed,-
0076,Node.js Team Lead,Node.js,"Node.js; Microservices; K8s; Pub/Sub; CQRS",9,21,Advanced,6000,"Trading; High-load",9*10+21*3+5=122,5.0,Soon,As needed,-

0080,Senior Python Developer,Python/Django,"Python; Django; DRF; Postgres; Redis; Celery; Docker; AWS",8,20,Upper-Intermediate,4600,"Fintech; E-commerce; CRM",8*10+20*3+8=148,5.0,Soon,As needed,-
